farm_id,capacity_mw,region,panel_type,lat,lon
SOL-0000,31.8,Multan,Thin-Film,24.8135,74.1785
SOL-0001,21.9,Faisalabad,Polycrystalline,24.8484,69.1864
SOL-0002,76.3,Karachi,Monocrystalline,33.8664,68.4286
SOL-0003,81.6,Lahore,Thin-Film,27.7427,73.3831
SOL-0004,99.1,Rawalpindi,Thin-Film,27.7064,67.9006
SOL-0005,44.2,Faisalabad,Monocrystalline,32.128,74.1874
SOL-0006,40.3,Peshawar,Thin-Film,33.4725,66.1033
SOL-0007,78.8,Peshawar,Thin-Film,33.86,74.244
SOL-0008,37.4,Lahore,Polycrystalline,31.5338,66.3669
SOL-0009,93.4,Karachi,Thin-Film,27.7626,73.5747
SOL-0010,86.5,Islamabad,Monocrystalline,24.835,70.4855
SOL-0011,45.8,Karachi,Polycrystalline,31.7715,74.4402
SOL-0012,76.3,Lahore,Polycrystalline,29.584,66.6273
SOL-0013,76.7,Peshawar,Monocrystalline,28.2422,70.7078
SOL-0014,14.8,Karachi,Monocrystalline,33.0635,74.2391
SOL-0015,90.7,Peshawar,Polycrystalline,25.112,70.4463
SOL-0016,53.0,Faisalabad,Thin-Film,28.9263,71.3499
SOL-0017,83.5,Islamabad,Polycrystalline,24.1135,71.9139
SOL-0018,35.4,Faisalabad,Monocrystalline,28.6866,69.8636
SOL-0019,90.1,Peshawar,Polycrystalline,24.563,71.3342
SOL-0020,42.0,Peshawar,Monocrystalline,25.1882,70.9667
SOL-0021,6.0,Rawalpindi,Polycrystalline,25.1753,73.6598
SOL-0022,91.0,Rawalpindi,Thin-Film,30.4921,66.3863
SOL-0023,13.7,Faisalabad,Polycrystalline,31.4604,68.3882
SOL-0024,35.3,Multan,Polycrystalline,29.8337,74.0785
